Index,Layers,Activation,Loss,Epochs,Alpha,Beta,F1-Score,MCE
492,21-12-3,TANH,MSE,500,0.001,0.95,100.00%,0.1975
493,21-15-3,TANH,MSE,500,0.001,0.95,100.00%,0.1975
1158,21-15-20-3,ISRLU,SSE,300,0.001,0.95,100.00%,0.1975
590,21-20-3,TANH,SSE,500,0.001,0.75,100.00%,0.1976
601,21-15-3,TANH,SSE,500,0.001,0.95,100.00%,0.1976
584,21-20-3,TANH,SSE,500,0.001,0.5,100.00%,0.1978
468,21-12-3,TANH,MSE,500,0.001,0.5,100.00%,0.198
578,21-20-3,TANH,SSE,500,0.001,0.5,100.00%,0.1981
594,21-12-3,TANH,SSE,500,0.001,0.75,100.00%,0.1981
498,21-12-3,TANH,MSE,500,0.001,0.95,100.00%,0.1983
1091,21-20-45-3,ISRLU,MSE,300,0.001,0.95,100.00%,0.1985
1359,21-20-45-3,TANH,SSE,300,0.001,0.5,100.00%,0.1986
494,21-20-3,TANH,MSE,500,0.001,0.95,100.00%,0.1987
481,21-15-3,TANH,MSE,500,0.001,0.75,100.00%,0.199
499,21-15-3,TANH,MSE,500,0.001,0.95,100.00%,0.1994
1307,21-20-45-3,TANH,MSE,300,0.001,0.95,100.00%,0.1995
1294,21-15-20-3,TANH,MSE,300,0.001,0.75,100.00%,0.2004
486,21-12-3,TANH,MSE,500,0.001,0.75,100.00%,0.2006
474,21-12-3,TANH,MSE,500,0.001,0.5,100.00%,0.201
168,21-12-3,ISRLU,MSE,500,0.001,0.95,100.00%,0.2011
602,21-20-3,TANH,SSE,500,0.001,0.95,100.00%,0.2011
487,21-15-3,TANH,MSE,500,0.001,0.75,100.00%,0.2012
589,21-15-3,TANH,SSE,500,0.001,0.75,100.00%,0.2031
324,21-12-3,TANH,CEE,500,0.01,0.5,100.00%,0.2372
336,21-12-3,TANH,CEE,500,0.01,0.75,100.00%,0.2372
338,21-20-3,TANH,CEE,500,0.01,0.75,100.00%,0.2372
339,21-12-3,TANH,CEE,300,0.01,0.75,100.00%,0.2372
341,21-20-3,TANH,CEE,300,0.01,0.75,100.00%,0.2372
345,21-20-3,TANH,CEE,500,0.01,0.75,100.00%,0.2372
350,21-20-3,TANH,CEE,500,0.01,0.95,100.00%,0.2372
352,21-15-3,TANH,CEE,300,0.01,0.95,100.00%,0.2372
355,21-15-3,TANH,CEE,500,0.01,0.95,100.00%,0.2372
357,21-12-3,TANH,CEE,300,0.01,0.95,100.00%,0.2372
359,21-20-3,TANH,CEE,300,0.01,0.95,100.00%,0.2372
1200,21-15-20-3,TANH,CEE,500,0.01,0.75,100.00%,0.2372
1203,21-20-45-3,TANH,CEE,300,0.01,0.75,100.00%,0.2372
1209,21-20-45-3,TANH,CEE,500,0.01,0.95,100.00%,0.2372
328,21-15-3,TANH,CEE,300,0.01,0.5,100.00%,0.2373
333,21-12-3,TANH,CEE,300,0.01,0.5,100.00%,0.2373
337,21-15-3,TANH,CEE,500,0.01,0.75,100.00%,0.2376
340,21-15-3,TANH,CEE,300,0.01,0.75,100.00%,0.2376
342,21-12-3,TANH,CEE,500,0.01,0.75,100.00%,0.2376
343,21-15-3,TANH,CEE,500,0.01,0.75,100.00%,0.2376
347,21-20-3,TANH,CEE,300,0.01,0.75,100.00%,0.2376
349,21-15-3,TANH,CEE,500,0.01,0.95,100.00%,0.2376
353,21-20-3,TANH,CEE,300,0.01,0.95,100.00%,0.2376
354,21-12-3,TANH,CEE,500,0.01,0.95,100.00%,0.2376
356,21-20-3,TANH,CEE,500,0.01,0.95,100.00%,0.2376
358,21-15-3,TANH,CEE,300,0.01,0.95,100.00%,0.2376
392,21-20-3,TANH,CEE,500,0.001,0.95,100.00%,0.2376
1204,21-15-20-3,TANH,CEE,500,0.01,0.95,100.00%,0.2376
1211,21-20-45-3,TANH,CEE,300,0.01,0.95,100.00%,0.2376
1229,21-20-45-3,TANH,CEE,500,0.001,0.95,100.00%,0.2376
325,21-15-3,TANH,CEE,500,0.01,0.5,100.00%,0.2377
326,21-20-3,TANH,CEE,500,0.01,0.5,100.00%,0.2377
327,21-12-3,TANH,CEE,300,0.01,0.5,100.00%,0.2377
329,21-20-3,TANH,CEE,300,0.01,0.5,100.00%,0.2377
330,21-12-3,TANH,CEE,500,0.01,0.5,100.00%,0.2377
331,21-15-3,TANH,CEE,500,0.01,0.5,100.00%,0.2377
332,21-20-3,TANH,CEE,500,0.01,0.5,100.00%,0.2377
334,21-15-3,TANH,CEE,300,0.01,0.5,100.00%,0.2377
335,21-20-3,TANH,CEE,300,0.01,0.5,100.00%,0.2377
372,21-12-3,TANH,CEE,500,0.001,0.75,100.00%,0.2377
378,21-12-3,TANH,CEE,500,0.001,0.75,100.00%,0.2377
384,21-12-3,TANH,CEE,500,0.001,0.95,100.00%,0.2377
385,21-15-3,TANH,CEE,500,0.001,0.95,100.00%,0.2377
