21-20-3,ISRLU,MSE,500,0.001,0.95,99.36%, 0.1998
21-12-3,ISRLU,MSE,300,0.001,0.95,99.36%, 0.2037
21-15-3,ISRLU,MSE,300,0.001,0.95,99.15%, 0.2034
21-20-3,ISRLU,MSE,300,0.001,0.95,99.15%, 0.2039
21-12-3,ISRLU,MSE,500,0.001,0.95,98.94%, 0.2048
21-15-3,ISRLU,MSE,500,0.001,0.95,99.36%, 0.2020
21-20-3,ISRLU,MSE,500,0.001,0.95,99.57%, 0.1982
21-12-3,ISRLU,MSE,300,0.001,0.95,98.72%, 0.2043
21-15-3,ISRLU,MSE,300,0.001,0.95,98.72%, 0.2063
21-20-3,ISRLU,MSE,300,0.001,0.95,99.57%, 0.2058
21-12-3,ISRLU,MSE,500,1.0E-4,0.5,93.83%, 0.2338
21-15-3,ISRLU,MSE,500,1.0E-4,0.5,89.36%, 0.2402
21-20-3,ISRLU,MSE,500,1.0E-4,0.5,88.30%, 0.2478
21-12-3,ISRLU,MSE,300,1.0E-4,0.5,78.94%, 0.2818
21-15-3,ISRLU,MSE,300,1.0E-4,0.5,88.09%, 0.2479
21-20-3,ISRLU,MSE,300,1.0E-4,0.5,86.81%, 0.2477
21-12-3,ISRLU,MSE,500,1.0E-4,0.5,95.11%, 0.2346
21-15-3,ISRLU,MSE,500,1.0E-4,0.5,90.85%, 0.2397
21-20-3,ISRLU,MSE,500,1.0E-4,0.5,96.60%, 0.2187
21-12-3,ISRLU,MSE,300,1.0E-4,0.5,90.85%, 0.2470
21-15-3,ISRLU,MSE,300,1.0E-4,0.5,92.13%, 0.2378
21-20-3,ISRLU,MSE,300,1.0E-4,0.5,86.38%, 0.2575
21-12-3,ISRLU,MSE,500,1.0E-4,0.75,86.17%, 0.2418
21-15-3,ISRLU,MSE,500,1.0E-4,0.75,85.74%, 0.2573
21-20-3,ISRLU,MSE,500,1.0E-4,0.75,87.45%, 0.2423
21-12-3,ISRLU,MSE,300,1.0E-4,0.75,91.06%, 0.2365
21-15-3,ISRLU,MSE,300,1.0E-4,0.75,75.96%, 0.2678
21-20-3,ISRLU,MSE,300,1.0E-4,0.75,90.85%, 0.2385
21-12-3,ISRLU,MSE,500,1.0E-4,0.75,78.30%, 0.2810
21-15-3,ISRLU,MSE,500,1.0E-4,0.75,91.91%, 0.2416
21-20-3,ISRLU,MSE,500,1.0E-4,0.75,88.30%, 0.2544
21-12-3,ISRLU,MSE,300,1.0E-4,0.75,94.26%, 0.2367
21-15-3,ISRLU,MSE,300,1.0E-4,0.75,80.85%, 0.2748
21-20-3,ISRLU,MSE,300,1.0E-4,0.75,87.66%, 0.2571
21-12-3,ISRLU,MSE,500,1.0E-4,0.95,92.77%, 0.2338
21-15-3,ISRLU,MSE,500,1.0E-4,0.95,85.32%, 0.2631
21-20-3,ISRLU,MSE,500,1.0E-4,0.95,90.64%, 0.2406
21-12-3,ISRLU,MSE,300,1.0E-4,0.95,85.53%, 0.2546
21-15-3,ISRLU,MSE,300,1.0E-4,0.95,82.77%, 0.2688
21-20-3,ISRLU,MSE,300,1.0E-4,0.95,91.06%, 0.2446
21-12-3,ISRLU,MSE,500,1.0E-4,0.95,91.91%, 0.2327
21-15-3,ISRLU,MSE,500,1.0E-4,0.95,97.02%, 0.2114
21-20-3,ISRLU,MSE,500,1.0E-4,0.95,94.26%, 0.2356
21-12-3,ISRLU,MSE,300,1.0E-4,0.95,85.32%, 0.2703
21-15-3,ISRLU,MSE,300,1.0E-4,0.95,91.06%, 0.2371
21-20-3,ISRLU,MSE,300,1.0E-4,0.95,78.72%, 0.2768
21-12-3,ISRLU,SSE,500,0.01,0.5,99.79%, 0.1902
21-15-3,ISRLU,SSE,500,0.01,0.5,100.00%, 0.1890
21-20-3,ISRLU,SSE,500,0.01,0.5,99.79%, 0.1882
21-12-3,ISRLU,SSE,300,0.01,0.5,99.79%, 0.1936
21-15-3,ISRLU,SSE,300,0.01,0.5,99.79%, 0.1896
21-20-3,ISRLU,SSE,300,0.01,0.5,99.57%, 0.1890
21-12-3,ISRLU,SSE,500,0.01,0.5,99.79%, 0.1911
21-15-3,ISRLU,SSE,500,0.01,0.5,100.00%, 0.1861
21-20-3,ISRLU,SSE,500,0.01,0.5,99.57%, 0.1981
21-12-3,ISRLU,SSE,300,0.01,0.5,99.79%, 0.1966
21-15-3,ISRLU,SSE,300,0.01,0.5,99.79%, 0.1902
21-20-3,ISRLU,SSE,300,0.01,0.5,99.79%, 0.1871
21-12-3,ISRLU,SSE,500,0.01,0.75,98.30%, 0.2003
21-15-3,ISRLU,SSE,500,0.01,0.75,98.94%, 0.1988
21-20-3,ISRLU,SSE,500,0.01,0.75,99.57%, 0.1902
21-12-3,ISRLU,SSE,300,0.01,0.75,100.00%, 0.1911
21-15-3,ISRLU,SSE,300,0.01,0.75,99.57%, 0.1878
21-20-3,ISRLU,SSE,300,0.01,0.75,99.57%, 0.1934
21-12-3,ISRLU,SSE,500,0.01,0.75,99.79%, 0.1861
21-15-3,ISRLU,SSE,500,0.01,0.75,99.79%, 0.1903
21-20-3,ISRLU,SSE,500,0.01,0.75,100.00%, 0.1856
21-12-3,ISRLU,SSE,300,0.01,0.75,99.79%, 0.1897
21-15-3,ISRLU,SSE,300,0.01,0.75,99.57%, 0.1879
21-20-3,ISRLU,SSE,300,0.01,0.75,99.79%, 0.1892
21-12-3,ISRLU,SSE,500,0.01,0.95,100.00%, 0.1838
21-15-3,ISRLU,SSE,500,0.01,0.95,99.79%, 0.1889
21-20-3,ISRLU,SSE,500,0.01,0.95,99.79%, 0.1891
21-12-3,ISRLU,SSE,300,0.01,0.95,99.57%, 0.1907
21-15-3,ISRLU,SSE,300,0.01,0.95,99.79%, 0.1948
21-20-3,ISRLU,SSE,300,0.01,0.95,99.79%, 0.1921
21-12-3,ISRLU,SSE,500,0.01,0.95,99.57%, 0.1874
21-15-3,ISRLU,SSE,500,0.01,0.95,99.79%, 0.1887
21-20-3,ISRLU,SSE,500,0.01,0.95,100.00%, 0.1882
21-12-3,ISRLU,SSE,300,0.01,0.95,99.79%, 0.1845
21-15-3,ISRLU,SSE,300,0.01,0.95,99.57%, 0.1903
21-20-3,ISRLU,SSE,300,0.01,0.95,99.79%, 0.1895
21-12-3,ISRLU,SSE,500,0.001,0.5,99.79%, 0.2027
21-15-3,ISRLU,SSE,500,0.001,0.5,99.79%, 0.1966
21-20-3,ISRLU,SSE,500,0.001,0.5,99.57%, 0.1992
21-12-3,ISRLU,SSE,300,0.001,0.5,99.15%, 0.2042
21-15-3,ISRLU,SSE,300,0.001,0.5,98.72%, 0.2032
21-20-3,ISRLU,SSE,300,0.001,0.5,98.30%, 0.2006
21-12-3,ISRLU,SSE,500,0.001,0.5,99.79%, 0.1962
21-15-3,ISRLU,SSE,500,0.001,0.5,99.57%, 0.2008
21-20-3,ISRLU,SSE,500,0.001,0.5,99.57%, 0.1987
21-12-3,ISRLU,SSE,300,0.001,0.5,99.36%, 0.2007
21-15-3,ISRLU,SSE,300,0.001,0.5,98.72%, 0.2044
21-20-3,ISRLU,SSE,300,0.001,0.5,98.94%, 0.2049
21-12-3,ISRLU,SSE,500,0.001,0.75,99.15%, 0.2008
21-15-3,ISRLU,SSE,500,0.001,0.75,98.30%, 0.1995
21-20-3,ISRLU,SSE,500,0.001,0.75,99.57%, 0.1985
21-12-3,ISRLU,SSE,300,0.001,0.75,97.66%, 0.2075
21-15-3,ISRLU,SSE,300,0.001,0.75,98.72%, 0.2059
21-20-3,ISRLU,SSE,300,0.001,0.75,99.57%, 0.2006
21-12-3,ISRLU,SSE,500,0.001,0.75,99.57%, 0.2005
21-15-3,ISRLU,SSE,500,0.001,0.75,99.57%, 0.2010
21-20-3,ISRLU,SSE,500,0.001,0.75,99.57%, 0.1974
21-12-3,ISRLU,SSE,300,0.001,0.75,99.15%, 0.2042
21-15-3,ISRLU,SSE,300,0.001,0.75,99.57%, 0.2016
21-20-3,ISRLU,SSE,300,0.001,0.75,99.57%, 0.2014
21-12-3,ISRLU,SSE,500,0.001,0.95,98.94%, 0.2030
21-15-3,ISRLU,SSE,500,0.001,0.95,99.79%, 0.2012
21-20-3,ISRLU,SSE,500,0.001,0.95,99.15%, 0.2006
21-12-3,ISRLU,SSE,300,0.001,0.95,99.15%, 0.2069
21-15-3,ISRLU,SSE,300,0.001,0.95,99.57%, 0.2039
21-20-3,ISRLU,SSE,300,0.001,0.95,98.72%, 0.2041
21-12-3,ISRLU,SSE,500,0.001,0.95,98.94%, 0.1980
21-15-3,ISRLU,SSE,500,0.001,0.95,99.57%, 0.2008
21-20-3,ISRLU,SSE,500,0.001,0.95,99.79%, 0.1999
21-12-3,ISRLU,SSE,300,0.001,0.95,99.57%, 0.2041
21-15-3,ISRLU,SSE,300,0.001,0.95,98.94%, 0.2055
21-20-3,ISRLU,SSE,300,0.001,0.95,98.94%, 0.2052
